,fap,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec
144,2.4615503e-07,52297.207,10.425444,14.337469805056296,0.0,9.564374,1241782066.6259766,1241782068.6259766,0.44783697,5670842,10.681095,1241782066.630371,1241782068.630371,0.44783697,6398544,65.100204,9.370024,74.47023,19.806023455084123,0.14393233,-0.83290005,-0.83290005,22.4,97395,69.06723785400389,17.323360443115234,1241782068.6384892,0.997231125831604,0.004106174223124981,667.47412109375,2.355072021484375,4.284547805786134,1.924039959907532,4.296593189239502,0.11362209916114807
149,2.4615503e-07,52297.207,12.642324,20.849400504253545,0.0,15.083932,1241783783.2890625,1241783785.2890625,0.15291359,10571734,14.393488,1241783783.284668,1241783785.284668,0.15291359,11925765,120.86778999999999,59.122604,179.99039,72.67559858001718,0.48915103,0.765737,0.765737,25.4,24397,117.82820129394531,42.422630310058594,1241783785.2539027,0.6349601745605469,0.6583619713783264,1206.93701171875,1.814993977546692,2.5625600814819336,3.3856239318847656,1.4327230453491209,-1.178745985031128
156,2.4615503e-07,52297.207,13.9506855,34.07091203274735,0.0,14.890042000000001,1241786188.2763672,1241786190.2763672,0.15186918,8729340,30.644962,1241786188.2861328,1241786190.2861328,0.15186918,9847605,96.17069000000001,14.063579999999998,110.23427,29.527035268304548,0.1462356,-0.64161783,-0.64161783,22.9,97393,29.90276908874512,96.00985717773438,1241786190.2732337,0.2034222036600113,0.6348080039024353,230.87759399414062,1.2727349996566772,0.08952899277210236,2.510375022888184,3.1500360965728764,0.4563677906990051
157,2.4615503e-07,52297.207,12.413554,22.086983051829055,0.0,16.33585,1241786672.7192385,1241786674.7192385,0.26576609999999995,7482901,14.865222,1241786672.7163086,1241786674.7163086,0.26576609999999995,8441620,69.51774,24.940777,94.45851,35.347210284741344,0.35876852,0.025629552000000003,0.025629552000000003,24.4,24473,60.89093017578125,45.91724014282226,1241786674.6928008,0.4407163858413696,0.28383609652519226,1684.6629638671875,0.6214625239372253,5.128588199615479,3.018716096878052,2.38006591796875,-1.1717820167541504
161,0.0010633164,12.100234,9.022128,11.934618240698615,0.0,6.477999700000001,1241787872.059082,1241787874.059082,0.23634120000000003,6360572,10.023503999999999,1241787872.0600586,1241787874.0600586,0.23634120000000003,7175411,130.11755,15.559311,145.67686,35.57276572352304,0.119578876,0.23161554,0.23161554,23.1,60806,136.63119506835938,9.9137544631958,1241787874.0526936,0.2823542058467865,0.9305570721626282,372.4157104492188,2.285733938217163,3.605492115020752,0.29556649923324585,1.4920259714126587,0.4876922965049744
165,0.071375735,0.17384247,8.527173,8.973496697964112,0.0,5.2028084,1241789166.7001953,1241789168.7001953,0.20747471,8278421,7.3112535,1241789166.697754,1241789168.697754,0.20747471,9339258,99.18836999999999,35.6775,134.86588,50.50480515351978,0.3596944,0.588751,0.588751,25.1,27453,21.332860946655273,69.49379730224611,1241789168.6713238,0.765422523021698,0.15121829509735107,1590.35498046875,1.2581909894943235,5.155310153961182,2.2266180515289307,2.1107780933380127,-0.5256394147872925
168,2.4615503e-07,52297.207,15.555015,25.29393782382352,0.0,17.548065,1241789870.0917966,1241789872.0917966,0.16636582,5773359,18.216715,1241789870.0922852,1241789872.0922852,0.16636582,6514828,89.59841,67.17436,156.77277,67.39818303230193,0.74972713,0.81689644,0.81689644,26.0,24359,37.93392181396485,100.3290023803711,1241789872.0941145,0.28703629970550537,0.453315794467926,465.3890075683594,1.7203609943389893,0.2350504994392395,3.5212519168853764,5.945940017700195,0.9195485115051271
181,2.4615503e-07,52297.207,19.978363,219.57755984774857,0.0,131.3899,1241793680.8901367,1241793682.8901367,0.2524594,4228671,175.92896000000002,1241793680.887207,1241793682.887207,0.2524594,4772064,52.60658299999999,31.155615,83.7622,35.005496170484946,0.59223795,-0.17571900000000001,-0.17571900000000001,24.8,24471,24.43963050842285,62.01972961425781,1241793682.9029436,0.6867513060569763,0.024354329332709312,137.11189270019528,0.2119361013174057,3.843678951263428,1.20878005027771,0.06930878758430481,0.5073565244674683
183,2.4615503e-07,52297.207,26.623856,56.42287760385414,0.0,44.431003999999994,1241793976.5874026,1241793978.5874026,0.38508546,2889543,34.776817,1241793976.5805664,1241793978.5805664,0.38508546,3260094,54.39479,19.3241,73.71889,27.509215112803933,0.35525647,-0.25012577,-0.25012577,24.1,27909,59.5688591003418,13.281189918518065,1241793978.5653806,0.4428800940513611,0.41541939973831177,207.3336944580078,0.4388827979564667,4.999421119689941,2.733937978744507,1.690201997756958,-1.005092978477478
186,5.0706654e-05,253.86995,9.708127000000001,10.931788521065904,0.0,4.8798018,1241795075.8652346,1241795077.8652346,0.34910375,8107950,9.782205000000001,1241795075.857422,1241795077.857422,0.34910375,9147564,71.63252,27.834571999999998,99.46709399999999,38.04354579914257,0.3885745,0.83543664,0.83543664,25.9,24123,77.0621566772461,22.81007957458496,1241795077.8668375,0.9779074788093568,0.7654675841331482,2834.81103515625,2.7121999263763428,3.375850915908813,2.8541231155395512,0.3133985102176666,-0.2294788062572479
189,0.31261277,0.034341644,8.333993,8.668858170376303,0.0,5.8837,1241795677.0151367,1241795679.0151367,0.28932595,3483310,6.36641,1241795677.020996,1241795679.020996,0.28932595,3929240,143.92923000000002,21.482695,165.41193,44.712534773129256,0.14925873,0.76733404,0.76733404,24.4,57792,81.61176300048828,102.8376007080078,1241795678.9800599,0.028233790770173076,0.3748900890350342,4219.2578125,0.5992575287818909,1.451779007911682,1.6175179481506348,3.0479199886322017,0.45375180244445795
194,0.76836073,0.008801758,8.165671000000001,18.136092693883242,0.0,6.042145,1241796887.8061526,1241796889.8061526,0.17076208,5709557,17.10001,1241796887.8017578,1241796889.8017578,0.17076208,6442875,177.81561000000002,26.970133,204.78575,55.750894639898206,0.15167472,0.54772174,0.54772174,23.5,90175,85.43592834472656,120.8895034790039,1241796889.7917488,0.43856340646743774,0.3578140139579773,1581.2900390625,0.3778429925441742,4.273768901824951,4.270100116729736,1.2693790197372437,0.1154107004404068
202,2.4615503e-07,52297.207,12.119504,15.269962029605313,0.0,9.563878,1241800267.256836,1241800269.256836,0.32761186,6887897,11.903948,1241800267.2563474,1241800269.2563474,0.32761186,7769626,60.029755,30.143496999999996,90.17325,36.603328453463696,0.5021426,0.5457896,0.5457896,25.5,24209,61.23408889770508,28.22167015075684,1241800269.2329195,0.489946186542511,0.8816927075386047,963.4915161132812,1.6391830444335938,3.3132920265197754,2.0362389087676998,3.117620944976806,-0.3990386128425598
205,0.62356186,0.013176257,8.215019999999999,7.825486017544981,0.0,5.512314,1241800888.6445312,1241800890.6445312,0.17039628,16223437,5.554514,1241800888.6411133,1241800890.6411133,0.17039628,18299347,89.01921,30.259232,119.27843999999999,43.9432920144311,0.339918,0.018618103,0.018618103,24.4,27385,63.83055114746094,106.62560272216795,1241800890.6141946,0.8945112228393555,0.763009786605835,4524.18212890625,1.9218339920043943,3.4152278900146484,5.492739200592041,3.903865098953247,-1.3939440250396729
209,0.05552791,0.22533546,8.557766,10.139587189271438,0.0,5.5853457,1241801490.8691404,1241801492.8691404,0.15340163,11304388,8.462572999999999,1241801490.8657227,1241801492.8657227,0.15340163,12749580,74.59433,31.291078999999996,105.88541000000001,41.29605698982811,0.41948333,-0.32082778,-0.32082778,24.6,24539,80.10452270507812,86.18364715576172,1241801492.8721242,0.4970672130584717,0.4252150058746338,4747.162109375,0.5766202807426453,1.113415002822876,2.671578884124756,0.5933452248573303,0.3161469101905823
