,H1_time,L1_time,H1_time_end,L1_time_end,timeslide_val,H1_timeslid_time,L1_timeslid_time,avg_timeslid_time,H1_timslide_val,L1_timslide_val,H1_delta_time,L1_delta_time
0,1241739186.5083008,1241739186.5014648,1241739190.5083008,1241739190.5014648,0.0,1241739186.5083008,1241739186.5014648,1241739186.5048828,0.00341796875,-0.00341796875,0.0,0.0
1,1241742476.6035154,1241742476.6108398,1241742480.6035154,1241742480.6108398,0.0,1241742476.6035154,1241742476.6108398,1241742476.6071777,-0.0036623477935791016,0.003662109375,0.0,0.0
2,1241743471.4399414,1241743471.4414062,1241743475.4399414,1241743475.4414062,0.0,1241743471.4399414,1241743471.4414062,1241743471.4406738,-0.000732421875,0.000732421875,0.0,0.0
3,1241744383.0410154,1241744383.0395508,1241744387.0410154,1241744387.0395508,0.0,1241744383.0410154,1241744383.0395508,1241744383.0402832,0.0007321834564208984,-0.000732421875,0.0,0.0
4,1241746082.746582,1241746082.7529294,1241746086.746582,1241746086.7529294,0.0,1241746082.746582,1241746082.7529294,1241746082.7497559,-0.003173828125,0.0031735897064208984,0.0,0.0
5,1241749280.234375,1241749280.2368164,1241749284.234375,1241749284.2368164,0.0,1241749280.234375,1241749280.2368164,1241749280.2355957,-0.001220703125,0.001220703125,0.0,0.0
6,1241749689.9995115,1241749690.0073242,1241749693.9995115,1241749694.0073242,0.0,1241749689.9995115,1241749690.0073242,1241749690.003418,-0.0039064884185791016,0.00390625,0.0,0.0
7,1241756073.392578,1241756073.383789,1241756077.392578,1241756077.383789,0.0,1241756073.392578,1241756073.383789,1241756073.3881836,0.0043942928314208984,-0.00439453125,0.0,0.0
8,1241757477.1694336,1241757477.173828,1241757481.1694336,1241757481.173828,0.0,1241757477.1694336,1241757477.173828,1241757477.1716309,-0.002197265625,0.0021970272064208984,0.0,0.0
9,1241757788.3544922,1241757788.3583984,1241757792.3544922,1241757792.3583984,0.0,1241757788.3544922,1241757788.3583984,1241757788.3564453,-0.001953125,0.001953125,0.0,0.0
10,1241758178.1816404,1241758178.1879885,1241758182.1816404,1241758182.1879885,0.0,1241758178.1816404,1241758178.1879885,1241758178.1848145,-0.0031740665435791016,0.0031740665435791016,0.0,0.0
11,1241759890.8041992,1241759890.807129,1241759894.8041992,1241759894.807129,0.0,1241759890.8041992,1241759890.807129,1241759890.805664,-0.00146484375,0.00146484375,0.0,0.0
12,1241762567.8754885,1241762567.8813474,1241762571.8754885,1241762571.8813474,0.0,1241762567.8754885,1241762567.8813474,1241762567.878418,-0.0029294490814208984,0.0029294490814208984,0.0,0.0
13,1241762682.5976562,1241762682.5961914,1241762686.5976562,1241762686.5961914,0.0,1241762682.5976562,1241762682.5961914,1241762682.5969238,0.000732421875,-0.000732421875,0.0,0.0
14,1241762967.5234375,1241762967.5317385,1241762971.5234375,1241762971.5317385,0.0,1241762967.5234375,1241762967.5317385,1241762967.527588,-0.004150390625,0.0041506290435791016,0.0,0.0
15,1241765569.9257812,1241765569.9277346,1241765573.9257812,1241765573.9277346,0.0,1241765569.9257812,1241765569.9277346,1241765569.9267578,-0.0009765625,0.0009768009185791016,0.0,0.0
16,1241766981.2910154,1241766981.2983398,1241766985.2910154,1241766985.2983398,0.0,1241766981.2910154,1241766981.2983398,1241766981.2946777,-0.0036623477935791016,0.003662109375,0.0,0.0
17,1241767179.581543,1241767179.5913086,1241767183.581543,1241767183.5913086,0.0,1241767179.581543,1241767179.5913086,1241767179.5864258,-0.0048828125,0.0048828125,0.0,0.0
18,1241769282.395996,1241769282.3891602,1241769286.395996,1241769286.3891602,0.0,1241769282.395996,1241769282.3891602,1241769282.3925781,0.00341796875,-0.00341796875,0.0,0.0
19,1241772872.6293945,1241772872.6313474,1241772876.6293945,1241772876.6313474,0.0,1241772872.6293945,1241772872.6313474,1241772872.630371,-0.0009765625,0.0009763240814208984,0.0,0.0
20,1241776281.6362305,1241776281.6323242,1241776285.6362305,1241776285.6323242,0.0,1241776281.6362305,1241776281.6323242,1241776281.6342773,0.001953125,-0.001953125,0.0,0.0
21,1241777970.28125,1241777970.2739258,1241777974.28125,1241777974.2739258,0.0,1241777970.28125,1241777970.2739258,1241777970.277588,0.003662109375,-0.003662109375,0.0,0.0
22,1241782066.6259766,1241782066.630371,1241782070.6259766,1241782070.630371,0.0,1241782066.6259766,1241782066.630371,1241782066.6281738,-0.002197265625,0.002197265625,0.0,0.0
23,1241783783.2890625,1241783783.284668,1241783787.2890625,1241783787.284668,0.0,1241783783.2890625,1241783783.284668,1241783783.2868652,0.002197265625,-0.002197265625,0.0,0.0
24,1241786188.2763672,1241786188.2861328,1241786192.2763672,1241786192.2861328,0.0,1241786188.2763672,1241786188.2861328,1241786188.28125,-0.0048828125,0.0048828125,0.0,0.0
25,1241786672.7192385,1241786672.7163086,1241786676.7192385,1241786676.7163086,0.0,1241786672.7192385,1241786672.7163086,1241786672.7177734,0.0014650821685791016,-0.00146484375,0.0,0.0
26,1241787872.059082,1241787872.0600586,1241787876.059082,1241787876.0600586,0.0,1241787872.059082,1241787872.0600586,1241787872.0595703,-0.00048828125,0.00048828125,0.0,0.0
27,1241789166.7001953,1241789166.697754,1241789170.7001953,1241789170.697754,0.0,1241789166.7001953,1241789166.697754,1241789166.6989746,0.001220703125,-0.001220703125,0.0,0.0
28,1241789870.0917964,1241789870.0922852,1241789874.0917964,1241789874.0922852,0.0,1241789870.0917964,1241789870.0922852,1241789870.0920408,-0.00024437904357910156,0.00024437904357910156,0.0,0.0
